constraint,source_table,source_columns,target_table
FK_NotaryResults_Users_DeletedBy,Crm.NotaryResults,DeletedBy,Crm.Users
FK_NotaryResults_Users_UpdatedBy,Crm.NotaryResults,UpdatedBy,Crm.Users
FK_NotificationGroupSubscriber_Users_CreatedBy,Crm.NotificationGroupSubscriber,CreatedBy,Crm.Users
FK_NotificationGroupSubscriber_Users_DeletedBy,Crm.NotificationGroupSubscriber,DeletedBy,Crm.Users
FK_NotificationGroupSubscriber_Users_UpdatedBy,Crm.NotificationGroupSubscriber,UpdatedBy,Crm.Users
FK_NotificationGroups_Users_CreatedBy,Crm.NotificationGroups,CreatedBy,Crm.Users
FK_NotificationGroups_Users_DeletedBy,Crm.NotificationGroups,DeletedBy,Crm.Users
FK_NotificationGroups_Users_UpdatedBy,Crm.NotificationGroups,UpdatedBy,Crm.Users
FK_NotificationLogs_Users_CreatedBy,Crm.NotificationLogs,CreatedBy,Crm.Users
FK_NotificationLogs_Users_DeletedBy,Crm.NotificationLogs,DeletedBy,Crm.Users
FK_NotificationLogs_Users_UpdatedBy,Crm.NotificationLogs,UpdatedBy,Crm.Users
FK_NotificationVariables_Users_CreatedBy,Crm.NotificationVariables,CreatedBy,Crm.Users
FK_NotificationVariables_Users_DeletedBy,Crm.NotificationVariables,DeletedBy,Crm.Users
FK_NotificationVariables_Users_UpdatedBy,Crm.NotificationVariables,UpdatedBy,Crm.Users
FK_Occupations_Users_CreatedBy,Crm.Occupations,CreatedBy,Crm.Users
FK_Occupations_Users_DeletedBy,Crm.Occupations,DeletedBy,Crm.Users
